sr,service,name,name_mm,address,address_mm,phone1,phone2,phone3,phone4,phone5,township_mm,Pyinoolwin,state_region_mm,state_region,LatLong,remark,running_status,status,services,curfew,opening_hour,opening_days,updated_phone,new_lat,new_long,url
130,အောက်ဆီဂျင်,,ကြီးပွားရေး 02 လူမှုကူညီရေးနှင့် အောက်ဆီဂျင် အသင်း,,ကြီးပွားရေး တောင်ပိုင်း၊ သင်္ဃန်းကျွန်းမြို့နယ်,09795878625,09254310654,0931348688,,,သင်္ဃန်းကျွန်း,Thingangyun,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.831011,96.19323",,,Same as Original,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
131,အောက်ဆီဂျင်,,အနှိုင်းမဲ့ မေတ္တာလူငယ် ပရဟိတအသင်း,,ရန်မျိုးအောင် ဘုရားဝင်း၊ စံပြရပ်ကွက်၊ သင်္ဃန်းကျွန်းမြို့နယ်,09420149908,09778102115,,,,သင်္ဃန်းကျွန်း,Thingangyun,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.831011,96.19323",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
132,အောက်ဆီဂျင်,,ကြယ်ဖြူသာရေးနာရေးကူညီမှုအသင်း,,ဦးစံဖေလမ်း၊ ဦးစံဖေရပ်ကွက်၊ သင်္ဃန်းကျွန်းမြို့နယ်,09421162093,09420061980,,,,သင်္ဃန်းကျွန်း,Thingangyun,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.831011,96.19323",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
133,အောက်ဆီဂျင်,,ပုဂ္ဂလိက O2 အလှူ,,၂၂ ရပ်ကွက်၊ တောင်ဒဂုံမြို့နယ်,0973253411,,,,,ဒဂုံမြို့သစ်(တောင်ပိုင်း),Dagon Myothit (South) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.84016,96.22582",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
134,အောက်ဆီဂျင်,,ဘဝသံသရာ ပရဟိတအဖွဲ့,,တိုက်(၁၈)၊ ၄ ဘလောက်၊ အခန်း(၂၀၂)၊ ယုဇန ဥယျာဉ်မြို့တော်၊ ဆောင်းဟေမာန်အိမ်ယာ၊ တောင်ဒဂုံမြို့နယ်,095506812,,,,,ဒဂုံမြို့သစ်(တောင်ပိုင်း),Dagon Myothit (South) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.84016,96.22582",,,Need Confirmation,အောက်ဆီဂျင်ဖြည့်လို့ရ,,၂၄ နာရီ,ပိတ်ရက်မရှိ,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
135,အောက်ဆီဂျင်,,စစ်ကိုင်း (ခင်မကန်) ကျောင်းတိုက် O2အလှူ,,စစ်ကိုင်း (ခင်မကန်) ကျောင်းတိုက်၊ တောင်ဒဂုံမြို့နယ်,098612803,095063816,,,,ဒဂုံမြို့သစ်(တောင်ပိုင်း),Dagon Myothit (South) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.84016,96.22582",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
136,အောက်ဆီဂျင်,,အေးမြစေသား 02 အဖွဲ့,,အမှတ်( ၆၄၁)၊ မြရတနာ (၃) လမ်း၊ (၂၄) ရပ်ကွက်၊ တောင်ဒဂုံမြို့နယ်,09445466895,095095946,,,,ဒဂုံမြို့သစ်(တောင်ပိုင်း),Dagon Myothit (South) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.84016,96.22582",,,Need Confirmation,"အောက်ဆီဂျင်အပိုပစ္စည်းရရှိနိုင်,လူနာတင်ယဥ်,နာရေးကူညီမှု",,၂၄ နာရီ,ပိတ်ရက်မရှိ,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
137,အောက်ဆီဂျင်,,ဖြိုးစေတနာ ပရဟိတအသင်း,,(၅၃) ရပ်ကွက်၊ (၇၁) ရပ်ကွက်၊ တောင်ဒဂုံမြို့နယ်,09799538119,09799620724,09254676881,09799556636,09421024656,ဒဂုံမြို့သစ်(တောင်ပိုင်း),Dagon Myothit (South) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.84016,96.22582",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
138,အောက်ဆီဂျင်,,အာဇိဏ္ဏကံ လူမှုကူညီရေး ပရဟိတအသင်း,,စိုက်/မွေ၊ (၁)၊ တောင်ဒဂုံမြို့နယ်,09250918670,09250373926,0925057972,,,ဒဂုံမြို့သစ်(တောင်ပိုင်း),Dagon Myothit (South) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.84016,96.22582",,,Need Confirmation,လူနာတင်ယဥ်,,,ပိတ်ရက်မရှိ,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
139,အောက်ဆီဂျင်,,ရွှေသန်လျင် နာရေးကူညီမှု အသင်း (ဒဂုံ),,ကျီစုသုဿန်အရှေ့ဒဂုံမြို့သစ်(ဆိပ်ကမ်း) မြို့နယ်,0943065543,097309873,09251013151,,,ဒဂုံမြို့သစ် (ဆိပ်ကမ်း),Dagon Myothit (Seikkan),ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.840488,96.272564",,,Need Confirmation,လူနာတင်ယဥ်,,,ပိတ်ရက်မရှိ,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
140,အောက်ဆီဂျင်,,မေတ္တာရောင်ခြည် လူမှုကူညီရေး အသင်း,,(၁၂) ရပ်ကွက်၊ ဗိုလ်မြင့်အောင်လမ်း၊ အရှေ့/ဒဂုံမြို့နယ်,09769370725,,,,,ဒဂုံမြို့သစ် (အရှေ့ပိုင်း),Dagon Myothit (East),ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.912805,96.213226",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
141,အောက်ဆီဂျင်,,စေတနာရှင် ပရဟိတ,,အမှတ် (၁၁၀၀)၊ မင်းရဲကျော်စွာလမ်းမ၊ (၆)ရပ်ကွက်၊ အရှေ့ဒဂုံမြို့နယ်,09250010032,0973145427,,,,ဒဂုံမြို့သစ် (အရှေ့ပိုင်း),Dagon Myothit (East),ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.912805,96.213226",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
142,အောက်ဆီဂျင်,,မုဒိတာ အောက်ဆီဂျင် အလှူတော်အဖွဲ့,,(၃၀) ရပ်ကွက်၊ မြောက်ဒဂုံမြို့နယ်,09795635778,095050719,0942514211,,,ဒဂုံမြို့သစ်(မြောက်ပိုင်း),Dagon Myothit (North) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.87774,96.19079",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
143,အောက်ဆီဂျင်,,ကရုဏာ နာရေးကူညီမှု O2 အလှူတော်အသင်း,,(၄၅) ရပ်ကွက်၊ မြောက်ဒဂုံမြို့နယ်,09761564295,09264324742,,,,ဒဂုံမြို့သစ်(မြောက်ပိုင်း),Dagon Myothit (North) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.87774,96.19079",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
144,အောက်ဆီဂျင်,,“ကမ်” လေအလှူတော် (ပုဂ္ဂလိက) O2 အလှူ,,(၉၁၂) ဗိုလ်ဆွန်ပက်လမ်း၊ (၃၆)ရပ်ကွက်၊ မြောက်ဒဂုံမြို့နယ်,018010021,09264370402,09252453042,,,ဒဂုံမြို့သစ်(မြောက်ပိုင်း),Dagon Myothit (North) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.87774,96.19079",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
145,အောက်ဆီဂျင်,,ခရေမိသားစု ပရဟိတနှင့် သွေးအလှူရှင်များ အသင်း,,(၃၈/၉၇၁)၊ ခရေလမ်း၊ မြောက်ဒဂုံမြို့နယ်,095078627,,,,,ဒဂုံမြို့သစ်(မြောက်ပိုင်း),Dagon Myothit (North) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.87774,96.19079",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
146,အောက်ဆီဂျင်,,ဈ/မေဓာဝီ အောက်ဆီဂျင် ဦးတင်စိန်,,သဒ္ဒမ္မဟိတကာရုံ ဓမ္မာရုံ၊ မေဓာဝီလမ်း၊ (ဈ) ရပ်ကွက်၊ မြောက်ဥက္ကလာပမြို့နယ်,0925449253,09786586392,09785182319,095401785,0931880569,မြောက်ဥက္ကလာပ,North Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.918775,96.163028",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
147,အောက်ဆီဂျင်,,ဂုဏ်တော်ရိပ်သာ လေအလှူတော်အဖွဲ့,,သန္တာလမ်း၊ မြောက်ဥက္ကလာပမြို့နယ်,09250506272,097301502,09250673126,,,မြောက်ဥက္ကလာပ,North Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.918775,96.163028",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
148,အောက်ဆီဂျင်,,မြင့်မြတ်သူတို့ နှလုံးသား ပရဟိတအဖွဲ့,,အောင်သပြေလမ်းနှင့်ဝေဟင်းလမ်းထောင့်၊ ဝေဘာဂီ (၃)ဝေဟင်းလမ်းထောင့်၊ ဝေဘာဂီ (၃),09761899255,09968980443,,,,မြောက်ဥက္ကလာပ,North Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.918775,96.163028",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
149,အောက်ဆီဂျင်,,"“လေ"" အလှူတော်အဖွဲ့",,ဓမ္မရာဇာ လမ်း၊ (၁၀) ရပ်ကွက်၊ တောင်ဥက္ကလာပမြို့နယ်,09420000564,095072781,09254120751,09979613961,,တောင်ဥက္ကလာပ,South Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.846249,96.179859",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
150,အောက်ဆီဂျင်,Ta Gaung Oxygen,တကောင်း အောက်ဆီဂျင်,,တကောင်းလမ်း၊ (၅) ရပ်ကွက်၊ တောင်ဥက္ကလာပမြို့နယ်,09790966994,09450015272,09791259814,09421069667,09421071876,တောင်ဥက္ကလာပ,South Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.846249,96.179859",,stopped,Wrong Info/ Stop Service,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
151,အောက်ဆီဂျင်,,လေ-သွေး ပရဟိတအသင်း,,သီရိဇေယျ (၉၇၉)-(၁၈)လမ်း၊ (က)/(၇)ရပ်ကွက်,09450543929,09799970397,0973085976,09421161230,,တောင်ဥက္ကလာပ,South Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.846249,96.179859",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
152,အောက်ဆီဂျင်,,မျှဝေခံစား တွဲလက်များ ပရဟိတ အသင်း,,အမှတ် (၄၉၄)၊ ယဿဝတီ လမ်း၊ (၁၃) ရပ်ကွက်၊ တောင်ဥက္ကလာပမြို့နယ်,09484442770,09484442770,09765000579,,,တောင်ဥက္ကလာပ,South Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.846249,96.179859",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
153,အောက်ဆီဂျင်,Nay La Free Oxygen,နေလ အောက်ဆီဂျင် အလှူတော်,,၄/၂/၆၇(ခ)၊ စိုက်ပျိုးရေးပဒေသာလမ်း၊ (၁၁)ရပ်ကွက်၊ ၁၄၆ ကံဘဲ့ဘူတာရုံလမ်း၊ (၁၂) ရပ်ကွက်၊ ရန်ကင်းမြို့နယ်,09795816657,09450021082,09790209503,,,ရန်ကင်း,Yankin,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.83601,96.162395",,,Same as Original,လူနာတင်ယဥ်,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
154,အောက်ဆီဂျင်,,ခရေပွင့် လူငယ်များ ပရဟိတအသင်း,,(၄/၃/၇၄) လူငယ်မေတ္တာလမ်း၊ (၁၂) ရပ်ကွက်၊ ရန်ကင်းမြို့နယ်,09730195811,0945021878,0942324264,,,ရန်ကင်း,Yankin,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.83601,96.162395",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
155,အောက်ဆီဂျင်,Lay Pyay Nyin,လေပြေညှင်း အဖွဲ့,,ပြည်သာယာ အဆင့်မြင့်အိမ်ယာ၊ ဘောက်ထော် ရပ်ကွက်၊ ရန်ကင်းမြို့နယ်,09250278923,09252576879,0943165950,,,ရန်ကင်း,Yankin,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.83601,96.162395",,stopped,Wrong Info/ Stop Service,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
156,အောက်ဆီဂျင်,,ရန်အောင်မြေလေ အလှူတော် (ဆရာစံ/မြောက်),,အရှေ့မြို့ပတ်လမ်း၊ အ.မ.က (၄)ကျောင်းရှေ့၊ ဆရာစံမြောက်၊ အရှေ့ဗဟန်းမြို့နယ်,0931692790,09254255054,09250367336,09401523238,,ဗဟန်း,Bahan,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.815427,96.156112",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
157,အောက်ဆီဂျင်,Mingalar Free Oxygen,မင်္ဂလာလေ အလှူတော် (ဆရာစံ/တောင်),,မင်္ဂလာသိဒ္ဓိလမ်း၊ ဆရာစံတောင်ရပ်ကွက်၊ ဗဟန်းမြို့နယ်,095021569,095117535,094241086,,,ဗဟန်း,Bahan,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.815427,96.156112",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
158,အောက်ဆီဂျင်,Bo Sein Hman Youth Free Oxygen,ဗိုလ်စိန်မှန် လူငယ်များ၏ O2 အလှူ,,ဗိုလ်မှူးအောင်လမ်းထောင့်၊ ဗဟန်းမြို့နယ်,0997577951,095055868,,,,ဗဟန်း,Bahan,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.815427,96.156112",,stopped,Stop Service,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
159,အောက်ဆီဂျင်,,မုဒိတာ တာမွေ အောက်ဆီဂျင်လေ အလှူတော်,,(၁၆၆) လမ်း၊ တာမွေကြီး (ခ)ရပ်ကွက်၊ တာမွေဓမ္မာရုံဘေး၊ တာမွေမြို့နယ်,0942100535,095146798,0943081618,,,တာမွေ,Tamwe,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.810182,96.17646",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
160,အောက်ဆီဂျင်,,ဗြဟ္မစိုရ်မိုး ဇိဝိတဒါန ကုသိုလ်ဖြင့် အသက်ကယ် အောက်ဆီဂျင်,,ဘယသုဒ္ဓိဖြတ်လမ်း၊ ပုသိမ်ညွန့်၊ ကျောက်မြောင်း၊ တာမွေမြို့နယ်,0950136334,09799992846,0943081618,,,တာမွေ,Tamwe,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.810182,96.17646",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
161,အောက်ဆီဂျင်,,မေတ္တာညွှန့်ကုသိုလ်ဖြစ် အသက်ကယ် O2,,မစိုးရိမ်ကျောင်းတိုက်၊ မေတ္တာညွန့်ရပ်ကွက်၊ တာမွေမြို့နယ်,095102381,0949200518,095078243,,,တာမွေ,Tamwe,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.810182,96.17646",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
162,အောက်ဆီဂျင်,Wuntharnu Rakhita Sanay Lu Nge Myar Ah Thin,ဝံသာနု ရက္ခိတ - စနေလူငယ်များ အသင်း (စမ်းချောင်း),,တိမ်ချယ် ကိုသူ ဘတ္ထရီဆိုင်၊ ဗဟိုလမ်းနှင့် ခိုင်ရွှေဝါလမ်းထောင့်၊ BRP မှတ်တိုင်၊ စမ်းချောင်းမြို့နယ်,09421067069,,,,,စမ်းချောင်း,Sanchaung,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.803809,96.137291",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
163,အောက်ဆီဂျင်,,သွေးမေတ္တာနှင့် စံရိပ်ငြိမ် နာရေးကူညီမှုအသင်း,,အင်းလျားရွာသစ်၊ ဘုန်းတော်ကြီးကျောင်း၊ စံရိပ်ငြိမ်မှတ်တိုင်၊ အင်းစိန်လမ်းမကြီး၊ ကမာရွတ်မြို့နယ်,094923724,,,,,ကမာရွတ်,Kamaryut,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.827684,96.132439",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
164,အောက်ဆီဂျင်,,အားမာန် လူငယ် ပရဟိတအသင်း,,ဓမ္မဝီယကျောင်းတိုက်၊ ထီးတန်းလမ်း၊ ကြည်မြင်တိုင်မြို့နယ်,095025982,095070299,095196510,,,ကြည့်မြင်တိုင်,Kyeemyindaing,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.814573,96.121879",,stopped,Stop Service,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
165,အောက်ဆီဂျင်,,ခရစ်တော်၏ အသင်းတော်,,ဗဟိုရ်လမ်းနှင့် မင်းရဲကျော်စွာလမ်းထောင့်၊ ခရစ်ယာန်ဘုရားကျောင်း၊ အ.ထ.က (၄) အနီး,0943083559,0925868399,,,,အလုံ,Ahlone,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.782398,96.127863",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
166,အောက်ဆီဂျင်,,စေတနာ သာ/နာရေးအသင်း,,ခြံအမှတ် (၆)၊ ကွန်ဦးမီးပွိုင့်ထိပ်၊ ပါရမီလမ်း၊ မရမ်းကုန်းမြို့နယ်,09975115691,09420125446,,,,မရမ်းကုန်း,Mayangone,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.86619,96.142611",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
167,အောက်ဆီဂျင်,,(သတ္တ) ဝါသုဒါန အောက်ဆီဂျင် (အခမဲ့) ကုသိုလ်ပြုအသင်း,,မူလဓမ္မာရုံ-ဖွဲ့စုံသာသနာရာမ(သံယိက) ကျောင်းတိုက်၊ (၈)ရပ်ကွက်၊ မရမ်းကုန်းမြို့နယ်,09455321568,09787224272,0925402549,0943142464,09250183054,မရမ်းကုန်း,Mayangone,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.86619,96.142611",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
168,အောက်ဆီဂျင်,,ခရီးဖော် ပရဟိတအသင်း,,(၁) ရပ်ကွက်၊ သမိုင်း၊ မရမ်းကုန်း၊ ညောင်(၃)ပင်၊ ပရိယတ္တိစာသင်တိုက်,0942004114,09423744548,,,,မရမ်းကုန်း,Mayangone,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.86619,96.142611",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
169,အောက်ဆီဂျင်,,ဝါတွင်းသံဃာဝေယျာဝစ္စအဖွဲ့,,လှိုင်ဓမ္မာရုံကျောင်း၊ ဈေးကုန်းအရှေ့ရပ်ကွက်၊ မီးရထားဝင်း၊ အင်းစိန်,0931072924,0925007577,,,,အင်းစိန်,Insein,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.901771,96.095959",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
170,,,,,,,,,,,,,,,,,,,,,,,,,,
171,အောက်ဆီဂျင်,,ရွှေလမင်း ပရဟိတ အသင်း,,အမှတ် (၂၃၃) ၊ အောင်သပြေလမ်းသွယ်၊ ပုလဲမြို့သစ်,09428043733,,,,,အင်းစိန်,Insein,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.901771,96.095959",,stopped,Wrong Info/ Stop Service,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
172,အောက်ဆီဂျင်,,ပုညကာရီ (အခမဲ့)နာရေးကုသိုလ်ပြုနှင့် အောက်ဆီဂျင် ပေးလှူရေးအဖွဲ့,,လမ်းသစ်လမ်း၊ စမ်းကြီး ရပ်ကွက်၊ မင်္ဂလာဒုံမြို့နယ်,0973062123,,,,,မင်္ဂလာဒုံ,Mingaladon,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.94914,96.12795",,,Need Confirmation,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
173,အောက်ဆီဂျင်,,ပုညသဟာယ O2 အဖွဲ့,,ပတ္တမြားမြို့သစ်၊ မင်္ဂလာဒုံမြို့နယ်,09420094953,09428138572,,,,မင်္ဂလာဒုံ,Mingaladon,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.94914,96.12795",,,Same as Original,အောက်ဆီဂျင်ဖြည့်လို့ရ,,မနက်၈-ည၆,ပိတ်ရက်မရှိ,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
174,အောက်ဆီဂျင်,,နှလုံးသားမြင့်မိုရ် O2 ဇီဝိတဒါနအဖွဲ့,,(၄၅၂/က)၊ ရတနာသီရီလမ်း၊ (၁၀)ရပ်ကွက်၊ ရွှေပြည်သာမြို့နယ်,0931301727,,,,,ရွှေပြည်သာ,Shwepyithar ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.95504,96.08329",,,Can't connect,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
175,အောက်ဆီဂျင်,,ကရုဏာရှင် နာရေးကူညီမှုအသင်းများ အောက်ဆီဂျင်ပေးလှူရေးအဖွဲ့,,နိဗ္ဗာန်ဆိပ်ဦးဘုန်းကြီးကျောင်း၊ အနောက်မင်းလမ်း၊ လမ်းရိပ်သာရပ်ကွက်၊ လှည်းကူးမြို့နယ်,01629443,09899961155,,,,လှည်းကူး,Hlegu ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"17.09875,96.22745",,,Can't Connect,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
176,အောက်ဆီဂျင်,,မေတ္တာရှင် အောက်ဆီဂျင်နှင့် သွေး,,သရက်ကုန်းကျေးရွာ၊ လှည်းကူးမြို့နယ်,09794590375,,,,,လှည်းကူး,Hlegu ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"17.09875,96.22745",,,Can't Connect,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
177,အောက်ဆီဂျင်,,မြတ်ဒါန အောက်ဆီဂျင်ကုသိုလ်ပြုအသင်း,,ဖောင်ကြီးအနောက်ဖက်လမ်း၊ လှည်းကူးမြို့နယ်,09965163359,09783207778,,,,လှည်းကူး,Hlegu ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"17.09875,96.22745",,,Can't connect,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
178,အောက်ဆီဂျင်,,မေတ္တာရောင်ခြည် အောက်ဆီဂျင်,,ပြည်တော်သာကျေးရွာ၊ ကွမ်းခြံကုန်းမြို့နယ်,09420196947,,,,,ကွမ်းခြံကုန်း,Kungyangon ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.4394,96.0119",,,Can't Connect,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
179,အောက်ဆီဂျင်,,မြို့မ အောက်ဆီဂျင်,,ကွမ်းခြံကုန်းမြို့နယ်,09777170756,,,,,ကွမ်းခြံကုန်း,Kungyangon ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.4394,96.0119",,stopped,Wrong Info/ Stop Service,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
180,အောက်ဆီဂျင်,,နာရေး ကူညီမှု အသင်း,,အမှတ် (၆/၇၉၈)၊ မြို့မ (၄)ရပ်ကွက်၊ ဒလမြို့နယ်,09420181187,,,,,ဒလ,Dala,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.75855,96.143",,,Same as Original,အောက်ဆီဂျင်ဖြည့်လို့ရ,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
181,အောက်ဆီဂျင်,,ကရုဏာ အောက်ဆီဂျင် အဖွဲ့,,ရွှေလက်ခုပ်ဘုန်းကြီးကျောင်း၊ အုန်းပင်စု ရပ်ကွက်၊ တွံတေးမြို့နယ်,0943024027,,,,,တွံတေး,Twantay ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.70734,95.93047",,,Same as Original,အောက်ဆီဂျင်ဖြည့်လို့ရ,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
182,အောက်ဆီဂျင်,,စိတ္တသုခ ကုသိုလ်ပြုအသင်း,,ရွှေဆံတော် ရပ်ကွက်၊ ရွှေဆံတော်ဘုရားအနီး၊ တွံတေးမြို့နယ်,09799285107,095396481,,,,တွံတေး,Twantay ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.70734,95.93047",,,Same as Original,အောက်ဆီဂျင်ဖြည့်လို့ရ,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
183,အောက်ဆီဂျင်,,ဓမ္မကုသလ ပရဟိတ လူငယ်များအဖွဲ့,,ဗိုလ်ချုပ်နေဝင်းလမ်း၊ မြို့ဟောင်းအလယ်ရပ်ကွက်၊ သန်လျင်မြို့နယ်,09799434781,09776110450,,,,သန်လျင်,Thanlyin ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.76378,96.25184",,,Same as Original,အောက်ဆီဂျင်ဖြည့်လို့ရ,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
184,အောက်ဆီဂျင်,,အမှတ်( ၁၀ ) ပရဟိတ လူငယ်များအဖွဲ့,,အမှတ် (၁၀) သစ်စက်၊ သန်လျင်မြို့နယ်,09420139274,09448040753,,,,သန်လျင်,Thanlyin ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.76378,96.25184",,,Can't Connect,,,,,,,,https://www.facebook.com/myanmarbizlaw/posts/3642300949204850
